track_id,new_url
6TZo6WV7ULppUZLJmKaDfs,https://www.youtube.com/watch?v=BCsUJ0xtJTQ
7cOyWm2g0GNZMbsFIiR2J6,https://www.youtube.com/watch?v=7VcXDdBXvyQ
4xlq4lMjs52trjpm8px4fz,https://www.youtube.com/watch?v=yiW2GR-Zi4Q
1wcNMWJCX5vYpFx7aKqJLI,https://www.youtube.com/watch?v=sqQkuwR9pSI
6oTuTvSi4a2dHXiEZDGrrz,https://www.youtube.com/watch?v=jUH9uMrONw4
5T2NdSF7rwdWe2hKU7s23O,https://www.youtube.com/watch?v=30TaeuGeLXA
7L6hWLiC4htBcL9yDviiIS,https://www.youtube.com/watch?v=qqWXuGpI_H4
7wdiJaU05bn8IWZbgf2dXi,https://www.youtube.com/watch?v=ekQ2UKozA_w
0HGX3Sk2Wp4ibJDyW9hvdY,https://www.youtube.com/watch?v=xWApEI6tj1g
1L0nJ5i4BWQJf2LzAi3pEw,https://www.youtube.com/watch?v=GOfSqBOvEsU
7FJN81UvDgMsffsYe7mtJg,https://www.youtube.com/watch?v=H7rkoY2H3xM
5ardmsHuWc0chy7GzsvrLd,https://www.youtube.com/watch?v=n0XLNPRZ1Og
7h8qrDfxBzUGcXXiR4Jxea,https://www.youtube.com/watch?v=6w_4wac3XqU
3KOHKi6cTh1IRAxUwmrMok,https://www.youtube.com/watch?v=tszRVJIlIO8
5TWqf6fPJIBHCmRuicyzVB,https://www.youtube.com/watch?v=qB1tzzcMxpI
1e20Z4j3nuQP35vFtyF1JU,https://www.youtube.com/watch?v=E0MljLonS74
22fEl4nzfgTqKi7ZYNXW3c,https://www.youtube.com/watch?v=t8nZu2cYhxk
2QJwMBAnrB6HDsS4dhTaNT,https://www.youtube.com/watch?v=J333E2rDY3o
3JrNYsMLZxd3R56UzjM4PL,https://www.youtube.com/watch?v=u6V33pEZQQQ
43FiKNMmSDaI7V1U8i5CZI,https://www.youtube.com/watch?v=AxT9owejm0Q
2juMZq1IaYHKNQsNlr9DrQ,https://www.youtube.com/watch?v=Be6s8waK4A4
1pjq6HahAijFavvVOVRP3E,https://www.youtube.com/watch?v=-SSclEJSfZM
5fA9xb5xWLwNizZCZRjQUO,https://www.youtube.com/watch?v=k3tPTdUwEec
4iyRQ0eEFdq51aee7LFcJQ,https://www.youtube.com/watch?v=YlW6nAZdEQs
3rtPfogqDQQB392GBadZ3C,https://www.youtube.com/watch?v=pSWxQXLoCgs
68oNk0caJp9px4OqqmPAmS,https://www.youtube.com/watch?v=VA-PbcoLcIU
0nAVI55nVF9u0dxDX19PVN,https://www.youtube.com/watch?v=pZXvvTCtctg
