,name,spotify_name,artist_id
79,KRAFTWERK,Kraftwerk,0dmPX6ovclgOy8WWJaFEUU
80,KUMO 99,Kumo 99,31UoyJXnXTjUzdwSX1Ylg5
81,LA PHIL,Los Angeles Philharmonic,6yeL5iw4hXNZtd8T7FOoFU
82,LADY GAGA,Lady Gaga,1HY2Jd0NmPuamShAr6KMms
83,LAYTON GIORDANI,Layton Giordani,7mC3RkNNTV6p2j9w4F8Ip4
84,LISA,LISA,5L1lO4eRHmJ7a0Q6csE5cT
85,LOLA YOUNG,Lola Young,67FB4n52MgexGQIG8s0yUH
86,LOS MIRLOS,Los Mirlos,1ga48mxYYI9RuUrWLa3voh
87,MARIBOU STATE,Maribou State,7zrkALJ9ayRjzysp4QYoEg
88,MARINA,MARINA,6CwfuxIqcltXDGjfZsMd9A
89,MASSANO,Massano,6htWLP8aiuf19FYMA4VQAZ
90,MAU P,Mau P,0w1sbtZVQoK6GzV4A4OkCv
91,MEDIUM BUILD,Medium Build,3C6wmSgnZuqxVQyBWujBsn
92,MEGAN THEE STALLION,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK
93,MEUTE,MEUTE,1z5xbcOeFRQXBVDpvRPh8H
94,MIIKE SNOW,Miike Snow,4l1cKWYW591xnwEGxpUg3J
95,MIND AGAINST,Mind Against,48LWLoeY0dhwaiX1FRsn72
96,MISSY ELLIOTT,Missy Elliott,2wIVse2owClT7go1WT98tk
97,MOHAMED RAMADAN,Mohamed Ramadan,4CflzQprp6nZxKiv0t78tH
98,MOON BOOTS,Moon Boots,3cIXmCH7iNcslTbwrwS7zy
99,MUNI LONG,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6
100,MUSTARD,Mustard,0YinUQ50QDB7ZxSCLyQ40k
101,PARCELS,Parcels,3oKRxpszQKUjjaHz388fVA
102,PARISI,PARISI,1UJfZU4rQx3bJ3tGypRuAT
103,PETE TONG,Pete Tong,6n1t55WMsSIUFHrAL4mUsB
104,POLO & PAN,Polo & Pan,45yEuthJ9yq1rNXAOpBnqM
105,POST MALONE,Post Malone,246dkjvS1zLTtiykXe5h60
106,PRISON AFFAIR,Prison Affair,7zsy26T28IR0WxwVRZ9Aai
107,RAVYN LENAE,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz
108,RAWAYANA,Rawayana,2AbQwU2cuEGfD465wCXlg2
109,REMA,Rema,46pWGuE3dSwY3bMMXGBvVS
110,SAINT JHN,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ
111,SALUTE,salute,1np8xozf7ATJZDi9JX8Dx5
112,SAM FENDER,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc
113,SAMMY VIRJI,Sammy Virji,1GuqTQbuixFHD6eBkFwVcb
114,SARA LANDRY,Sara Landry,7eILArMiTFTQf8SEh5fFHK
115,SEUN KUTI,Seun Kuti,1GQur7dDvAWhKT9u9YwBJZ
116,SHABOOZEY,Shaboozey,3y2cIKLjiOlp1Np37WiUdH
117,SHERMANOLOGY,Shermanology,4Siyzg8kWayQfPQsPSl6JI
118,SHORELINE MAFIA,Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ
119,SNOW STRIPPERS,Snow Strippers,6TsAG8Ve1icEC8ydeHm3C8
120,SOFT PLAY,SOFT PLAY,3xByNj8XW17oW0wsJhgzYL
121,SPARROW & BARBOSSA,Sparrow & Barbossa,3c1sTwL4HuWkrciiKHpnmx
122,SPEED,Speed,4wf6GGNBqaU79839E6yjfn
123,STILL WOOZY,Still Woozy,4iMO20EPodreIaEl8qW66y
124,T-PAIN,T-Pain,3aQeKQSyrW4qWr35idm0cy
125,TALÓN,Talón,4wNQV7tJw5nfk1xDAohIZg
126,THE BEACHES,The Beaches,6ws5XBA70XgeBpnLZhQBoy
127,THE DARE,The Dare,2mqiqsaX4LzFnUP7PmHGAb
128,THE GO-GO'S,The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE
129,THE MARÍAS,The Marías,2sSGPbdZJkaSE2AbcGOACx
130,THE ORIGINAL MISFITS,Misfits,1cXi8ALPQCBHZbf0EgP4Ey
131,THE PRODIGY,The Prodigy,4k1ELeJKT1ISyDv8JivPpB
132,THEE SACRED SOULS,Thee Sacred Souls,0oK5D6uPhGu4Jk2dbZfodU
133,THREE 6 MAFIA,Three 6 Mafia,26s8LSolLfCIY88ysQbIuT
134,TINK,Tink,4v6XOdonnfpdTKTRJArG7v
135,TINLICKER,Tinlicker,5EmEZjq8eHEC6qFnT63Lza
136,TOGETHER PANGEA,Together Pangea,29q1axQPERERxUzqufXMqB
137,TOM BREU,Tom Breu,4Y4jZlaPkgIlzMp6kmcr9h
138,TOPS,TOPS,2SdK1QDmZIP2hk94rSaLl9
139,TRAVIS SCOTT,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
140,TRIPOLISM,Tripolism,18JlbX3l0yzlwdnQVJrLsp
141,TY DOLLA $IGN,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
142,TYLA,Tyla,3SozjO3Lat463tQICI9LcE
143,UNDERSCORES,underscores,7HfUJxeVTgrvhk0eWHFzV7
144,VIAGRA BOYS,Viagra Boys,2nAKP6etu8wXNnezKXgqgg
145,VINTAGE CULTURE,Vintage Culture,28uJnu5EsrGml2tBd7y8ts
146,VS SELF,Vs Self,4417xRt2a90h8KtmfsaWL8
147,VTSS,VTSS,0zo109NM3S7CqHpvlXwqEN
148,WISP,Wisp,3TJZG17pjOKXwx1ELKJPfm
149,XG,XG,0LOK81e9H5lr61HlGGHqwA
150,YEAT,Yeat,3qiHUAX7zY4Qnjx8TNUzVx
151,YO GABBA GABBA!,Yo Gabba Gabba,5FzSQmddi3XVt5zuvfGStF
152,YULIA NIKO,Yulia Niko,3RUNl0j2ISAQdC2Fxhj2q3
153,ZEDD,Zedd,2qxJFvFYMEDqd7ui6kSAcq
