track_id,alternative,blues,electronic,folkcountr,funksoulrnb,jazz,pop,raphiphop,rock,danceable,not_danceable,female,male,acoustic,non_acoustic,happy,non_happy,non_sad,sad,instrumental,voice,valence_deam,arousal_deam,valence_emomusic,arousal_emomusic,bpm
08WEIBLx95kvXakvVs8izv,0.1627911925315857,0.15873202681541443,0.1873663365840912,0.0011583890300244093,0.007131116930395365,0.09389667212963104,0.23613302409648895,0.05434780940413475,0.09844361245632172,0.9876382350921631,0.01236168947070837,0.6901149749755859,0.3098849654197693,0.0011940766125917435,0.9988059401512146,0.41337862610816956,0.5866214036941528,0.9830690026283264,0.01693088188767433,0.2588791251182556,0.7411209344863892,7.1273088455200195,5.617482662200928,4.998611927032471,6.405205249786377,135.355712890625
41YlWhySoJVw2TXaxW1q5G,0.05024585500359535,0.01807624101638794,0.6936951875686646,6.885182665428147e-05,0.0049615162424743176,0.01861976832151413,0.07232772558927536,0.13703767955303192,0.00496691046282649,0.9999954700469971,4.592285677063046e-06,0.775323748588562,0.22467626631259918,7.753329555271193e-05,0.9999226331710815,0.32838770747184753,0.6716122627258301,0.9987834095954895,0.0012166148517280817,0.3244551718235016,0.6755449771881104,6.30401611328125,5.238472938537598,4.9220733642578125,6.364070892333984,76.32013702392578
2h7vLf7jv2KsRb7fV77w5H,0.3895018696784973,0.018346259370446205,0.28720763325691223,0.004767156206071377,0.005570204462856054,0.04245761036872864,0.05772705003619194,0.16095700860023499,0.033465296030044556,0.9625141620635986,0.037485912442207336,0.3703024983406067,0.629697322845459,0.028425846248865128,0.9715743064880371,0.5542721152305603,0.44572797417640686,0.9430083632469177,0.05699177831411362,0.15415415167808533,0.8458456993103027,6.410652160644531,5.385810852050781,4.588678359985352,6.272120475769043,150.92904663085938
74PYQHEdWRBPtLcJh5tzJj,0.13795502483844757,0.0034470718819648027,0.5643776655197144,0.0026700664311647415,0.016865935176610947,0.0202124435454607,0.028252258896827698,0.1761591136455536,0.05006043240427971,0.9150765538215637,0.08492333441972733,0.5895304679870605,0.41046950221061707,0.014812791720032692,0.9851872324943542,0.15424224734306335,0.8457579612731934,0.9070698618888855,0.0929298922419548,0.3926711678504944,0.6073287129402161,6.987171649932861,3.6771023273468018,3.450838088989258,6.435957908630371,154.75204467773438
6C2nVSSeXNqfoY8t6tliZ4,0.12423238903284073,0.01804916188120842,0.5874430537223816,0.0004212514031678438,0.001304619712755084,0.020117061212658882,0.04651921987533569,0.1954657882452011,0.0064473990350961685,0.9999495148658752,5.0554288463899866e-05,0.7052547335624695,0.2947450876235962,1.1839450962725095e-05,0.999988317489624,0.3578576445579529,0.6421423554420471,0.999319851398468,0.0006805038428865373,0.5137542486190796,0.486245721578598,6.996527194976807,5.148751735687256,4.698963642120361,6.404848098754883,143.34237670898438
2206j6VX2vU9N4hnucVGxc,0.11143507808446884,0.014745933935046196,0.32639315724372864,0.0008008736767806113,0.013655994087457657,0.13931997120380402,0.03476753830909729,0.3368912935256958,0.02199014648795128,0.9700631499290466,0.02993692085146904,0.6389048099517822,0.3610951602458954,0.036110348999500275,0.9638896584510803,0.37656402587890625,0.6234361529350281,0.9714320302009583,0.02856764756143093,0.29726752638816833,0.702732503414154,6.5245513916015625,5.263681411743164,4.658456802368164,6.225179195404053,149.16897583007812
4JcS9WIUfDny6XJ82GqMpZ,0.3108692467212677,0.1395200937986374,0.3886559307575226,0.0012315782951191068,0.004320129286497831,0.023705046623945236,0.07487809658050537,0.019821669906377792,0.03699840232729912,0.9425289630889893,0.05747130885720253,0.520192563533783,0.47980740666389465,0.01988256350159645,0.9801173210144043,0.5079995393753052,0.49200037121772766,0.9496981501579285,0.050301846116781235,0.2491539865732193,0.7508459687232971,6.566991806030273,5.094428539276123,4.830663681030273,6.069931507110596,139.9888916015625
0Gz4Q1Bmyef5yA0G6LIIQZ,0.032325711101293564,0.050899308174848557,0.7160524129867554,2.1695139366784133e-05,0.0011238045990467072,0.08407403528690338,0.09111253917217255,0.0196104496717453,0.00478002242743969,0.9999997019767761,3.108847579369467e-07,0.8863130807876587,0.1136869564652443,5.645786504970829e-09,1.0,0.2538858652114868,0.7461143136024475,1.0,7.085899511594107e-08,0.27301034331321716,0.7269895672798157,7.781476020812988,5.260676383972168,4.847516059875488,7.525166988372803,110.86662292480469
0jNhSK5gotdRB1G4nMqEau,0.08536884933710098,0.014908540062606335,0.6232596635818481,0.00011604553583310917,0.004367113579064608,0.02508612349629402,0.02414429374039173,0.2174568772315979,0.005292563699185848,0.9998550415039062,0.00014501909026876092,0.6013706922531128,0.398629367351532,3.1967152608558536e-05,0.9999682307243347,0.28185799717903137,0.7181419134140015,0.9994587302207947,0.0005414107581600547,0.33861202001571655,0.6613879799842834,6.967273235321045,5.018086910247803,4.237388610839844,6.581506252288818,144.85923767089844
2kWOfoDtiLM6ONlmOecg2O,0.06186463311314583,0.08103068172931671,0.5340485572814941,0.00011451144382590428,0.0430707111954689,0.0506315641105175,0.15525932610034943,0.06971988826990128,0.004260261543095112,0.9852726459503174,0.014727374538779259,0.7184678316116333,0.2815319299697876,1.1817141967185307e-05,0.9999882578849792,0.214593306183815,0.7854065895080566,0.9988343119621277,0.0011656582355499268,0.20475445687770844,0.7952454686164856,6.733264446258545,5.196666717529297,4.482987880706787,6.982726573944092,147.0616455078125
3V8Cz6eVyTUCBWooVwNvR3,0.028656790032982826,0.00909638311713934,0.09501392394304276,0.0002463441633153707,0.02165837772190571,0.008623621426522732,0.17590820789337158,0.6591509580612183,0.0016451645642518997,0.9999998807907104,1.7361915638502978e-07,0.6443260312080383,0.3556738793849945,0.0009378217509947717,0.9990622997283936,0.44342195987701416,0.5565780401229858,0.8762199878692627,0.12378021329641342,0.004655083641409874,0.9953446984291077,5.567507266998291,5.655848503112793,4.860893249511719,5.089545726776123,77.5009536743164
1fjPtLD6QBwlqkvCKd43RZ,0.05404042825102806,0.009054463356733322,0.1955382078886032,0.040812063962221146,0.021425671875476837,0.06544099003076553,0.05045453459024429,0.473583847284317,0.08964987099170685,0.6588545441627502,0.3411455452442169,0.548221230506897,0.4517786502838135,0.10745634138584137,0.892543613910675,0.04601714760065079,0.9539828896522522,0.18221770226955414,0.8177825212478638,0.2322300672531128,0.7677699327468872,4.803079605102539,4.280377388000488,4.262596607208252,3.8511343002319336,139.3933563232422
5wzPDiNVgJ5Rvhjne9Uj3F,0.058987416326999664,0.006560829933732748,0.056554172188043594,0.0035509418230503798,0.016746440902352333,0.055378418415784836,0.19178879261016846,0.59159916639328,0.018833935260772705,0.927456259727478,0.07254362851381302,0.6991393566131592,0.30086055397987366,0.04428316652774811,0.9557170271873474,0.04850342869758606,0.9514966011047363,0.09720776230096817,0.9027923941612244,0.041370462626218796,0.9586296677589417,4.9593682289123535,4.739508628845215,4.551724910736084,4.250984191894531,138.86947631835938
5OtS4v1D48NH1OTGMn0739,0.11273237317800522,0.011314867995679379,0.054410047829151154,0.04423908516764641,0.0310369823127985,0.15252897143363953,0.3101746737957001,0.2557215392589569,0.027841554954648018,0.8304579854011536,0.16954204440116882,0.630625307559967,0.3693747818470001,0.2483292818069458,0.7516707181930542,0.13492362201213837,0.8650766015052795,0.04141305014491081,0.958587110042572,0.10428411513566971,0.8957160115242004,4.3773956298828125,4.499919414520264,4.485960483551025,3.858856439590454,149.6239013671875
2HYfgg9U8L3OKpiasiq7Tq,0.15935635566711426,0.006645852234214544,0.2535000145435333,0.0020017290953546762,0.002483995398506522,0.01447948906570673,0.1724666953086853,0.3474580943584442,0.041607778519392014,0.9872761964797974,0.012724025174975395,0.43590816855430603,0.5640918612480164,0.07761698961257935,0.9223829507827759,0.371625155210495,0.6283748149871826,0.7524000406265259,0.24760009348392487,0.1246427521109581,0.8753573298454285,5.186462879180908,5.281402587890625,5.01345157623291,5.028717517852783,135.32054138183594
15qx6rElhY2QmikMKhJk8c,0.08765927702188492,0.004389443900436163,0.11616949737071991,0.00037408247590065,0.01226472295820713,0.01241183839738369,0.3622589409351349,0.394552618265152,0.009919540956616402,0.9980604648590088,0.0019397230353206396,0.508867084980011,0.4911330044269562,0.008895068429410458,0.9911048412322998,0.3650006651878357,0.6349993944168091,0.5124630928039551,0.4875369369983673,0.06398509442806244,0.9360150694847107,4.970458507537842,5.33086633682251,4.861012935638428,5.014096260070801,117.96597290039062
2oOZavHCHCCd9lV1oYBw62,0.13718965649604797,0.005577088333666325,0.03396524861454964,0.021292010322213173,0.009289473295211792,0.12990015745162964,0.20667687058448792,0.44640254974365234,0.009707042016088963,0.9187489748001099,0.0812511295080185,0.501398503780365,0.4986014664173126,0.2844159007072449,0.7155841588973999,0.32994893193244934,0.6700509786605835,0.12194536626338959,0.8780544400215149,0.10440962016582489,0.8955904245376587,4.511848449707031,4.96367073059082,4.84213924407959,4.56447696685791,132.42477416992188
1jIu9uVVYaP3x09HLjikQ3,0.19350770115852356,0.003574676811695099,0.29125329852104187,0.018595635890960693,0.06288402527570724,0.05003436282277107,0.3182743489742279,0.02721393294632435,0.03466196730732918,0.9755539298057556,0.024446070194244385,0.5310669541358948,0.4689330756664276,0.19426897168159485,0.8057310581207275,0.6329880952835083,0.3670118749141693,0.3662600815296173,0.6337398886680603,0.10781775414943695,0.8921822905540466,5.161527633666992,4.815281391143799,4.583769798278809,5.184073448181152,83.44349670410156
1zV2mbt3vg6yVr6Sb1PFjz,0.29218828678131104,0.00628410279750824,0.05887860432267189,0.005047943443059921,0.004003677982836962,0.06280805915594101,0.10059142112731934,0.4542481601238251,0.015949685126543045,0.9361732602119446,0.06382698565721512,0.3288477957248688,0.6711521744728088,0.22990605235099792,0.7700940370559692,0.43281832337379456,0.5671817660331726,0.6397334337234497,0.36026647686958313,0.057057227939367294,0.9429427981376648,5.27299690246582,5.2455973625183105,4.585986614227295,5.174703121185303,144.73809814453125
7fQKDpB4i0hiQacjVCXVU2,0.015266326256096363,0.0029166978783905506,0.4342224597930908,0.00023969564063008875,0.014267261140048504,0.03304487466812134,0.14532722532749176,0.34714749455451965,0.007567849941551685,0.9922887086868286,0.007711272221058607,0.8533840775489807,0.14661578834056854,4.277886910131201e-05,0.9999574422836304,0.09626821428537369,0.903731644153595,0.9812553524971008,0.018744781613349915,0.18234883248806,0.8176513910293579,6.086467742919922,5.488317012786865,4.752554893493652,6.050388336181641,121.2367935180664
